N_u,N_f,actual_physics_points,num_parameters,relative_l2_error,final_mse_u,final_mse_f,training_time_seconds
100,0,0,3021,0.937779371065085,1.7798871641446497e-07,0.0,2.4270777702331543
100,1000,1100,3021,0.8731848771898438,0.005941560655739677,0.0031489757893616603,40.709900856018066
100,2500,2600,3021,0.008752968277481857,2.7744562576466063e-07,5.773547716295558e-06,95.20403409004211
100,5000,5100,3021,0.006906370356361091,4.964285714549508e-07,3.950744260675436e-06,159.41630125045776
100,10000,10100,3021,0.0049506223380298775,3.5516381604212325e-07,4.9060895792284e-06,310.11318492889404
