name,group,hidden_layers,neurons,N_u,N_f,num_parameters,relative_l2_error,max_absolute_error,final_total_loss,final_mse_u,final_mse_f,training_time_seconds,device
2x20,depth,2,20,100,5000,501,0.09802187887118824,1.044542923770536,0.0015143512739863945,0.000603857196587356,0.0009104940773990386,64.24302244186401,cuda
4x20,depth,4,20,100,5000,1341,0.040149084335388066,0.4476939835958128,3.444532057507184e-05,9.964430431000524e-06,2.4480890144071316e-05,80.58822512626648,cuda
6x20,depth,6,20,100,5000,2181,0.15413234774255005,1.4351641992481512,2.4233441784947895e-05,3.852235484312313e-06,2.038120630063558e-05,107.7896659374237,cuda
8x20,depth_and_width,8,20,100,5000,3021,0.00807111314261319,0.07914454933512283,4.595808992286649e-06,3.9822337699508546e-07,4.197585615291563e-06,131.59111499786377,cuda
8x10,width,8,10,100,5000,811,0.018682932434377512,0.20070363112990708,1.574989642070094e-05,1.7073408156975402e-06,1.40425556050034e-05,118.47605013847351,cuda
8x40,width,8,40,100,5000,11641,0.0007476274883490543,0.008438893019385274,1.7517359245718573e-06,1.516389745141439e-07,1.6000969500577133e-06,161.14381623268127,cuda
