N_u,N_f,num_parameters,relative_l2_error,max_absolute_error,final_total_loss,final_mse_u,final_mse_f,training_time_seconds
20,10000,3021,0.07132649874832517,0.7601418349896587,3.3411399905862395e-05,1.8819416936547327e-05,1.459198296931507e-05,1173.8575785160065
40,10000,3021,0.17492319852429827,1.5866625145307918,1.8524178363042798e-05,3.408745143015388e-06,1.511543322002741e-05,1168.7619202136993
60,10000,3021,0.04390604987663903,0.5081394092100809,1.3120382910102974e-05,1.528829642142899e-06,1.1591553267960076e-05,1122.8642840385437
80,10000,3021,0.00487006371243799,0.04814736817814114,2.021553188233942e-05,2.197263695740308e-06,1.801826818659911e-05,1169.3131551742554
100,10000,3021,0.0016570947085101809,0.014828155887656846,4.268028972088952e-06,4.372396317756993e-07,3.830789340313253e-06,1167.8103482723236
200,10000,3021,0.001174693360329432,0.006886338539618286,9.99779435427129e-06,6.985294502228567e-07,9.299264904048433e-06,1165.8555455207825
